antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_count,test_confidence,score
"frozenset({'vessel_flag=Other', 'port_start=(4.416, 7.536]', 'speed=(0.147, 1.098]', 'shore_start=(3.932, 7.334]'})","frozenset({'Risk=True', 'enc_vessel_flag=Other'})",0.029137529137529136,0.026806526806526808,0.02097902097902098,0.7200000000000001,26.85913043478261,1.0,0.020197945023119848,3.4756909756909766,0.9916633319994664,0.6000000000000001,0.7122874251497007,0.751304347826087,18.0,0.24,6.446191304347826
"frozenset({'vessel_flag=Other', 'port_start=(4.416, 7.536]', 'speed=(0.147, 1.098]'})","frozenset({'shore_start=(3.932, 7.334]', 'Risk=True', 'enc_vessel_flag=Other'})",0.029137529137529136,0.026806526806526808,0.02097902097902098,0.7200000000000001,26.85913043478261,1.0,0.020197945023119848,3.4756909756909766,0.9916633319994664,0.6000000000000001,0.7122874251497007,0.751304347826087,18.0,0.23076923076923078,6.198260869565218
"frozenset({'vessel_flag=Other', 'port_start=(4.416, 7.536]', 'shore_start=(3.932, 7.334]'})","frozenset({'speed=(0.147, 1.098]', 'enc_vessel_flag=Other', 'Risk=True'})",0.03263403263403263,0.02564102564102564,0.02097902097902098,0.6428571428571429,25.071428571428573,1.0,0.020142250911481682,2.7282051282051287,0.9925033467202143,0.5625,0.6334586466165414,0.7305194805194806,18.0,0.2222222222222222,5.571428571428571
"frozenset({'vessel_flag=Other', 'port_start=(4.416, 7.536]'})","frozenset({'shore_start=(3.932, 7.334]', 'speed=(0.147, 1.098]', 'enc_vessel_flag=Other', 'Risk=True'})",0.03263403263403263,0.02564102564102564,0.02097902097902098,0.6428571428571429,25.071428571428573,1.0,0.020142250911481682,2.7282051282051287,0.9925033467202143,0.5625,0.6334586466165414,0.7305194805194806,18.0,0.20689655172413793,5.187192118226601
"frozenset({'port_start=(4.416, 7.536]', 'shore_start=(3.932, 7.334]', 'speed=(0.147, 1.098]', 'enc_vessel_flag=Other'})","frozenset({'vessel_flag=Other', 'Risk=True'})",0.03263403263403263,0.026806526806526808,0.02097902097902098,0.6428571428571429,23.98136645962733,1.0,0.020104215908411712,2.724941724941725,0.9906291834002677,0.5454545454545454,0.6330196749358427,0.7127329192546584,18.0,0.21428571428571427,5.138864241348713
"frozenset({'port_start=(4.416, 7.536]', 'speed=(0.147, 1.098]', 'enc_vessel_flag=Other'})","frozenset({'vessel_flag=Other', 'shore_start=(3.932, 7.334]', 'Risk=True'})",0.03263403263403263,0.026806526806526808,0.02097902097902098,0.6428571428571429,23.98136645962733,1.0,0.020104215908411712,2.724941724941725,0.9906291834002677,0.5454545454545454,0.6330196749358427,0.7127329192546584,18.0,0.21428571428571427,5.138864241348713
"frozenset({'vessel_flag=Other', 'shore_start=(3.932, 7.334]', 'speed=(0.147, 1.098]'})","frozenset({'port_start=(4.416, 7.536]', 'Risk=True', 'enc_vessel_flag=Other'})",0.03146853146853147,0.026806526806526808,0.02097902097902098,0.6666666666666666,24.8695652173913,1.0,0.02013545894664776,2.919580419580419,0.9909747292418774,0.5625,0.6574850299401197,0.7246376811594203,18.0,0.2,4.973913043478261
"frozenset({'port_start=(4.416, 7.536]', 'shore_start=(3.932, 7.334]', 'enc_vessel_flag=Other'})","frozenset({'vessel_flag=Other', 'speed=(0.147, 1.098]', 'Risk=True'})",0.03613053613053613,0.02564102564102564,0.02097902097902098,0.5806451612903226,22.645161290322584,1.0,0.020052596975673898,2.3234714003944776,0.9916700255273411,0.5142857142857143,0.5696095076400679,0.6994134897360704,18.0,0.21212121212121213,4.803519061583579
"frozenset({'shore_start=(3.932, 7.334]', 'speed=(0.147, 1.098]', 'enc_vessel_flag=Other'})","frozenset({'vessel_flag=Other', 'port_start=(4.416, 7.536]', 'Risk=True'})",0.0337995337995338,0.026806526806526808,0.02097902097902098,0.6206896551724138,23.154422788605697,1.0,0.02007297287017567,2.565691883873702,0.9902828039136845,0.5294117647058824,0.6102415857939294,0.7016491754122939,18.0,0.20689655172413793,4.790570232125316
"frozenset({'port_start=(4.416, 7.536]', 'enc_vessel_flag=Other'})","frozenset({'vessel_flag=Other', 'shore_start=(3.932, 7.334]', 'speed=(0.147, 1.098]', 'Risk=True'})",0.037296037296037296,0.02564102564102564,0.02097902097902098,0.5625,21.9375,1.0,0.02002271233040464,2.227106227106227,0.991390906645144,0.49999999999999994,0.5509868421052632,0.6903409090909092,18.0,0.20588235294117646,4.516544117647059
